Clave de incidencia,Nombre del proyecto,Tipo de proyecto,Resumen,Descripción,Tipo de Incidencia,Principal,Parent summary,Story Points,Creada,Paso a Done
1157474,Capa de Integración V2,software,LATINIA - Actualización plantilla Instrucciones de Acceso,"*Yo Como* Cliente empresarial

*Quiero* que me envÃ­en un correo a mi usuario delegado (plantilla Instrucciones de Acceso)

*Para* indicar como acceder a la web de contingencia, cuando se active la web de contingencia del producto de pagos.

Detalles adicionales: Historia con la que se cargó la primer versión, [https://bancodebogota.atlassian.net/browse/MANG-15611|https://bancodebogota.atlassian.net/browse/MANG-15611|smart-link].

Insumos Correo: 

{color:#36b37e}*Información e Insumo de Solución:*{color}

*Se carga en ambiente QA*

Grupo:                               Contingencia Pagos
Nombre:                            Instrucciones de acceso
Referencia:		          instructivo_acceso
Nombre de archivo:          correo1_ acceso.html",Historia,1076110,Experiencia 642 Potencializar la oferta de valor de pagos - Parametrizar las plantillas de la contingencia de pagos,1,18/02/2025 21:36,04/03/2025 13:49
1157468,Capa de Integración V2,software,Verificación actualización de plantillas - Contingencia de Pagos,"*Dado:* que se ingrese a Latinia.

*Cuando:* se actualice las plantillas Contingencia de Pagos

*Entonces:* se debe enviar los email informarndo y guiar al delegado de la empresa para la notificación de la contingencia de pagos.",Criterio de aceptación,1157467,LATINIA - Actualizar las plantillas de la contingencia de pagos,,18/02/2025 21:29,04/03/2025 13:46
1157467,Capa de Integración V2,software,LATINIA - Actualizar las plantillas de la contingencia de pagos,"*Yo Como* Banco BdB

*Quiero* Actualizar la plantilla que se utilizara en diferentes momentos de la contingencia de pagos.

*Para* Informar y guiar al delegado de la empresa.

Detalles adicionales: Historia con la que se cargó la primer versión [[MANG-15289] LATINIA - Parametrizar las plantillas de la contingencia de pagos - JIRA|https://bancodebogota.atlassian.net/browse/MANG-15289]

Insumos Correo: 

{color:#36b37e}*Información e Insumo de Solución:*{color}

*Se carga en ambiente QA*

Grupo:                               Contingencia Pagos
Nombre:                            OTP para login o transmision
Referencia:		         otp_login_transmision
Nombre de archivo:          Correo2_contingencia_codigodeiniciodesesion.html",Historia,1076110,Experiencia 642 Potencializar la oferta de valor de pagos - Parametrizar las plantillas de la contingencia de pagos,1,18/02/2025 21:29,04/03/2025 13:48
1156979,Capa de Integración V2,software,"Dado que se consuma el stepfucntion, Cuando se parametrice la consulta a la bd con un limite de x registros. Entonces al recibir respuesta si no existen mas registros se debe traer y procesar y finalizar el proceso",,Criterio de aceptación,1134869,AWS - StepFunctionsTransfiya - Ajustes configuración y paginado,,18/02/2025 15:15,18/02/2025 20:15
1156965,Capa de Integración V2,software,"Dado que se consuma el stepfucntion, Cuando se parametrice la consulta a la bd con un limite de x registros. Entonces al recibir respuesta validar si existen mas registros se debe traer y procesar hasta que se cumpla el numero de paginado parametrizado",,Criterio de aceptación,1134869,AWS - StepFunctionsTransfiya - Ajustes configuración y paginado,,18/02/2025 15:14,18/02/2025 20:15
1156962,Capa de Integración V2,software,Dado que se consuma el stepFunction. Cuando se relalice la consulta a la Base de datos. Entonces debe traer solo los campos requeridos para el reverso,,Criterio de aceptación,1134869,AWS - StepFunctionsTransfiya - Ajustes configuración y paginado,,18/02/2025 15:13,18/02/2025 20:15
1156843,Capa de Integración V2,software,DADO QUE se consutla el estado de una transferencia ACH CUANDO esta es rechazada ENTONCES en la mensajeria de respuesta se debe ver el campo <ifx:XferStatus>.<ifx:Status>.<ifx:ServerStatusDesc/> poblado con el valor correspondiente ,,Criterio de aceptación,1156627,Broker - Cargue descripciones estado transferencia ACH,,18/02/2025 14:33,26/02/2025 20:17
1156315,Tribu API Canales y transaccional producto,software,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que queden los archivos en la ruta esperada para realizar el respectivo cargue,,Criterio de aceptación,1112946,HU[H] - Validación mallas transmisión archivos desde Office hacia Realtime,,18/02/2025 10:42,
1156310,Tribu API Canales y transaccional producto,software,Dado que necesito enviar archivos al emisor de TC Cuando: Se debe realizar el cargue en postcard Entonces: Espero que se envÃ­en los 13 archivos al servidor de Portal,,Criterio de aceptación,1112946,HU[H] - Validación mallas transmisión archivos desde Office hacia Realtime,,18/02/2025 10:41,
1155458,Tribu API Canales y transaccional producto,software,Dado que requiero hacer bloqueos de Tarjeta dÃ©bito Cuando se invoca el servicio por PPE Entonces: Espero que se realice satisfactoriamente el bloqueo a travÃ©s de PPE,,Criterio de aceptación,1138147,CAS - Bloqueo/Desbloqueo PPE,,17/02/2025 18:58,
1155456,Tribu API Canales y transaccional producto,software,Dado que requiero hacer bloqueos de Tarjeta dÃ©bito Cuando se invoca el servicio por PPE Entonces: Espero que se pueda consumir el actual servicio con el canal PPE,,Criterio de aceptación,1138147,CAS - Bloqueo/Desbloqueo PPE,,17/02/2025 18:58,
1155360,Tribu API Canales y transaccional producto,software,DADO QUE Necesito consumir la información del API de Asignación Comercial CUANDO se requiere en HNT ENTONCES espero que se haga validación tÃ©cnica de un par de desarrollo,,Criterio de aceptación,1007912,HU [H] - Almacenamiento Argus Usuario Integración PGT y MCC,,17/02/2025 17:35,
1155358,Tribu API Canales y transaccional producto,software,DADO QUE Necesito consumir la información del API de Asignación Comercial CUANDO se requiere en HNT ENTONCES espero documentos con la información necesaria para catalogar en producción la API KEY,,Criterio de aceptación,1007912,HU [H] - Almacenamiento Argus Usuario Integración PGT y MCC,,17/02/2025 17:35,
1155355,Tribu API Canales y transaccional producto,software,DADO QUE Necesito consumir la información del API de Asignación Comercial CUANDO se requiere en HNT ENTONCES espero que se parametrice la aplicación y componente de llaves y contraseÃ±a en Argus,,Criterio de aceptación,1007912,HU [H] - Almacenamiento Argus Usuario Integración PGT y MCC,,17/02/2025 17:35,
1153446,Capa de Integración V2,software,"Dado que se consuma el api InternalCreditBureau. Cuando se consuma el recurso ""/V1/Enterprise/ods - GET "". Entonces se debe recibir respuesta de Backend, vlaidar logs y ver registro reporte pentagono exitoso en lambda de pentagono",,Criterio de aceptación,780487,"AWS - Ajuste en envio de eventos a pentagono (datacredito, ods, ver si mas)",,14/02/2025 14:12,19/02/2025 19:52
1151284,Capa de Integración V2,software,DADO que se consuma el API de campaÃ±as CUANDO se consulte el recurso /getByCustomer ENTONCES debe visualizarse el evento de OpenTelemetry en el tablero de Grafana,"h1. {color:#00b8d9}*Tablero de Grafana*{color}
[https://grafana.labdigstgmonitoring.com/d/eecy94jwllb0gc/campaign?orgId=14&from=now-6h&to=now&timezone=browser|https://grafana.labdigstgmonitoring.com/d/eecy94jwllb0gc/campaign?orgId=14&from=now-6h&to=now&timezone=browser]",Criterio de aceptación,1123653,AWS - Error validacion de tipo de documento,,13/02/2025 10:08,19/02/2025 19:54
1150037,Capa de Integración V2,software,"Dado que se consuma el api EventData. Cuando se envÃ­e el recurso ""/V1/Utilities/data/transaction/event/publish-POS"", se presente una falla del backend. Entonces responder HTTP_500 y dejar los logs de acuerdo a descripción HU  para el caso de error",,Criterio de aceptación,1148823,AWS - Lambda event-data-transaction - Optimizar escritura logs,,12/02/2025 12:17,05/03/2025 12:54
1150033,Capa de Integración V2,software,"Dado que se consuma el api EventData. Cuando se envÃ­e el recurso ""/V1/Utilities/data/transaction/event/publish-POST"" con data valida. Entonces responder HTTP_200, dejar los logs de acuerdo a descripción HU. no repetir trazas y ver en grafana.",,Criterio de aceptación,1148823,AWS - Lambda event-data-transaction - Optimizar escritura logs,,12/02/2025 12:16,05/03/2025 12:54
1149553,Capa de Integración V2,software,"Dado que se consuma el api de saldos, Cuando se envie o valide la OTP y falle internamente la aplicación. Entonces se debe obtener respuesta del backend principal HTTP_500",,Criterio de aceptación,1149462,AWS - API SecondaryAuth - Ajuste estructuras respuesta segÃºn definición OAS,,12/02/2025 10:12,05/03/2025 15:10
1149552,Capa de Integración V2,software,"Dado que se consuma el api Secondary, Cuando se envie o valide la OTP  y presente demoras el backend. Entonces se debe obtener respuesta  HTTP_408",,Criterio de aceptación,1149462,AWS - API SecondaryAuth - Ajuste estructuras respuesta segÃºn definición OAS,,12/02/2025 10:11,05/03/2025 15:10
1149549,Capa de Integración V2,software,"Dado que se consuma el api Secondary, Cuando se envie o valide  la OPT y no cumpla con la estructura . Entonces se debe obtener respuesta HTTP_400",,Criterio de aceptación,1149462,AWS - API SecondaryAuth - Ajuste estructuras respuesta segÃºn definición OAS,,12/02/2025 10:11,05/03/2025 15:10
1149543,Capa de Integración V2,software,"Dado que se consuma el api Secondary, Cuando se envie OTPo valide. Entonces se debe obtener respuesta del backend principal HTTP_200 segÃºn documentación",,Criterio de aceptación,1149462,AWS - API SecondaryAuth - Ajuste estructuras respuesta segÃºn definición OAS,,12/02/2025 10:11,05/03/2025 17:11
1149462,Capa de Integración V2,software,AWS - API SecondaryAuth - Ajuste estructuras respuesta segÃºn definición OAS,"h1. {color:#00b8d9}*Descripción*{color}

{color:#00b8d9}*Yo Como*{color} usuario del API SecondaryAuthPublic v2 desde BancaMovil, corporate,

{color:#00b8d9}*Quiero*{color} se valide la estructura de respuestas entregadas por el API,

{color:#00b8d9}*Para*{color} que se estandaricen y sean consecuentes con la documentación

___________________________________________________________________________________________________

h1. {color:#00b8d9}*Material de apoyo*{color}

* Componente
[https://github.com/bancodebogota/bbog-dig-dt-secondary-authentication-method-v2-mngr|https://github.com/bancodebogota/bbog-dig-dt-secondary-authentication-method-v2-mngr|smart-link] 
* Confluence
[https://bancodebogotaconfluence.atlassian.net/wiki/spaces/LABDIGITAL/pages/1973354613/API+secondaryAuthenticationMethodManagement+Private|https://bancodebogotaconfluence.atlassian.net/wiki/spaces/LABDIGITAL/pages/1973354613/API+secondaryAuthenticationMethodManagement+Private|smart-link] 

___________________________________________________________________________________________________

h1. {color:#00b8d9}*Arbol de problema*{color}

{color:#00b8d9}*Raiz del problema*{color}

Se evidencio que el componente no esta cumpliendo con respuestas segÃºn el contrato, esto hace parte de una iniciativa por parte del COE de arquitectura, y se esta utilizando actualmente para BM Corporate, encargado de enviar OTP.

{color:#00b8d9}*Solución*{color}

Se encontró que la raÃ­z del problema es dado que nose cumple con los establecido en el contrato OAS, tambiÃ©n se ve oportunidades de mejora frente a estas (formato actual de errores).

*_Estructura respuesta ejemplo:_*

!image-20250213-201458.png|width=603,height=214,alt=""image-20250213-201458.png""!

__________________________________________________________________________________________________

h1. {color:#00b8d9}*Pulls PROD*{color}

* Rama â†’ Release",Historia,1149461,Sostenibilidad - Apis Transversales - Q1-2025,5,12/02/2025 09:31,05/03/2025 15:10
1149169,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendMessage - POST"", se presente una falla del backend. Entonces responder HTTP_500 y dejar los logs de acuerdo a  HU  para el caso de error",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:33,05/03/2025 12:45
1149168,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendMessage - POST"" con data valida. Entonces debe responder HTTP_200 y dejar los logs segÃºnHU. No repetir trazas. Ver Rta en grafana",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:31,05/03/2025 12:45
1149167,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendMessageWhatsApp -POST"", se presente una falla del backend. Entonces responder HTTP_500 y dejar los logs de acuerdo a HU  para el caso de error",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:31,05/03/2025 12:45
1149166,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendMessageWhatsApp -POST"" con data valida. Entonces responder HTTP_200, dejar los logs de acuerdo a descripción HU. no repetir trazas ",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:30,05/03/2025 12:45
1149165,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendEmail -POST"", se presente una falla del backend. Entonces responder HTTP_500 y dejar los logs de acuerdo a descripción HU  para el caso de error",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:30,05/03/2025 12:45
1149164,Capa de Integración V2,software,"Dado que se consuma el api notificationsManagement. Cuando se envÃ­e el recurso ""/V1/Utilities/notification/sendEmail -POST"" con data valida. Entonces responder HTTP_200, dejar los logs de acuerdo a descripción HU. no repetir trazas y ver en grafana.",,Criterio de aceptación,1148834,AWS - Lambda notification-mngr - Optimizar escritura logs ,,12/02/2025 07:28,05/03/2025 12:45
1149142,Capa de Integración V2,software,"Dado que se consuma el api de saldos, Cuando se consulte el saldo certificados. Entonces se debe obtener respuesta del backend principal HTTP_500",,Criterio de aceptación,1149137,AWS - API Saldos - Implementar Consulta Saldos certificados,,12/02/2025 06:46,03/03/2025 13:11
1149141,Capa de Integración V2,software,"Dado que se consuma el api de saldos, Cuando se consulte el saldo certificados y presente demoras el backend. Entonces se debe obtener respuesta  HTTP_408",,Criterio de aceptación,1149137,AWS - API Saldos - Implementar Consulta Saldos certificados,,12/02/2025 06:46,03/03/2025 13:11
1149140,Capa de Integración V2,software,"Dado que se consuma el api de saldos , Cuando se consulte el saldo certificados. Entonces se debe obtener respuesta HTTP_400",,Criterio de aceptación,1149137,AWS - API Saldos - Implementar Consulta Saldos certificados,,12/02/2025 06:46,03/03/2025 13:11
1149139,Capa de Integración V2,software,"Dado que se consuma el api de saldos , Cuando se consulte el saldo certificados. Entonces se debe obtener respuesta HTTP_409",,Criterio de aceptación,1149137,AWS - API Saldos - Implementar Consulta Saldos certificados,,12/02/2025 06:46,03/03/2025 13:11
1149138,Capa de Integración V2,software,"Dado que se consuma el api de saldos, Cuando se consulte el saldo certificados. Entonces se debe obtener respuesta del backend principal HTTP_200",,Criterio de aceptación,1149137,AWS - API Saldos - Implementar Consulta Saldos certificados,,12/02/2025 06:46,03/03/2025 13:11
